iter	Passed	Remaining
295	338923	233582
296	340049	232424
297	341110	231222
298	342145	230004
299	343237	228824
300	344366	227671
301	345508	226525
302	346558	225320
303	347636	224134
304	348683	222928
305	349790	221762
306	350881	220586
307	351925	219382
308	353058	218233
309	354190	217084
310	355401	215983
311	356478	214801
312	357592	213641
313	358664	212457
314	359758	211286
315	360841	210110
316	361891	208915
317	362954	207728
318	364013	206540
319	365150	205397
320	366240	204227
321	367322	203054
322	368392	201874
323	369462	200695
324	370581	199543
325	371649	198364
326	372707	197181
327	373827	196031
328	374988	194902
329	376070	193733
330	377112	192544
331	378158	191357
332	379168	190153
333	380267	188995
334	381315	187812
335	382360	186628
336	383378	185432
337	384456	184266
338	385551	183108
339	386606	181932
340	387683	180767
341	388724	179586
342	389867	178452
343	390922	177278
344	391974	176104
345	393025	174930
346	394081	173759
347	395224	172626
348	396316	171472
349	397453	170337
350	398534	169178
351	399652	168035
352	400746	166883
353	401807	165717
354	402891	164561
355	404046	163434
356	405176	162297
357	406310	161162
358	407393	160006
359	408476	158852
360	409576	157704
361	410738	156579
362	411825	155427
363	412889	154266
364	413938	153100
365	415047	151957
366	416132	150805
367	417234	149660
368	418292	148499
369	419411	147360
370	420590	146243
371	421686	145096
372	422746	143937
373	423849	142794
374	424948	141649
375	426022	140496
376	427117	139351
377	428181	138196
378	429233	137037
379	430417	135921
380	431620	134810
381	432815	133696
382	433987	132575
383	435214	131471
384	436317	130328
385	437479	129203
386	438623	128073
387	439701	126924
388	440790	125778
389	441846	124623
390	442892	123466
391	443923	122305
392	445037	121167
393	446131	120025
394	447286	118899
395	448421	117767
396	449481	116616
397	450629	115487
398	451737	114349
399	452775	113193
400	453841	112045
401	454978	110915
402	456030	109764
403	457119	108622
404	458167	107471
405	459238	106326
406	460382	105197
407	461454	104053
408	462513	102906
409	463595	101764
410	464713	100631
411	465820	99495
412	466874	98348
413	467955	97208
414	469136	96088
415	470338	94972
416	471409	93829
417	472474	92686
418	473584	91552
419	474672	90413
420	475793	89281
421	476882	88144
422	477938	87000
423	479022	85862
424	480156	84733
425	481247	83596
426	482339	82460
427	483430	81324
428	484561	80195
429	485751	79075
430	486885	77946
431	488032	76819
432	489247	75703
433	490452	74584
434	491547	73449
435	492624	72311
436	493821	71191
437	495002	70068
438	496051	68927
439	497149	67793
440	498219	66655
441	499406	65532
442	500619	64413
443	501787	63288
444	502938	62160
445	504084	61032
446	505283	59910
447	506427	58781
448	507585	57654
449	508623	56513
450	509728	55380
451	510841	54248
452	511875	53108
453	512930	51970
454	514000	50835
455	515117	49704
456	516182	48568
457	517257	47434
458	518347	46301
459	519394	45164
460	520551	44038
461	521581	42900
462	522627	41765
463	523755	40636
464	524926	39510
465	525988	38376
466	527068	37244
467	528139	36112
468	529220	34980
469	530458	33859
470	531522	32726
471	532582	31593
472	533609	30459
473	534717	29330
474	535809	28200
475	536880	27069
476	537932	25938
477	539024	24808
478	540171	23681
479	541304	22554
480	542364	21423
481	543429	20294
482	544682	19171
483	545755	18041
484	546827	16912
485	547869	15782
486	548961	14654
487	550228	13530
488	551350	12402
489	552445	11274
490	553602	10147
491	554843	9021
492	555905	7893
493	556990	6765
494	558065	5637
495	559112	4508
496	560566	3383
497	561791	2256
498	562937	1128
499	564121	0
