iter	TotalF1	MultiClass
88	0.9117282015	0.3040272519
89	0.911959916	0.302949562
90	0.9120992092	0.302166525
91	0.9122335829	0.301430726
92	0.9123497709	0.3009161444
93	0.9124687402	0.3004209618
94	0.9125803189	0.2993968422
95	0.9127566169	0.2983837299
96	0.9129651159	0.2975777967
97	0.9130094675	0.29676471
98	0.9132149886	0.2960271758
99	0.9133550522	0.295527846
100	0.913585221	0.2944644767
101	0.9135793636	0.2937965657
102	0.9137463294	0.2931474093
103	0.914193182	0.2923792945
104	0.914258224	0.291930315
105	0.9143603037	0.2913000632
106	0.9145859611	0.2907158365
107	0.9147813806	0.2901067687
108	0.914912106	0.2894135417
109	0.915061185	0.2887370004
110	0.9151300996	0.2878862243
111	0.915436211	0.287017292
112	0.9155519574	0.2864941666
113	0.9155984792	0.2863548563
114	0.9157619995	0.2856737265
115	0.915900461	0.2850144226
116	0.916210009	0.284250291
117	0.9162530357	0.2838876549
118	0.9163577239	0.2830346551
119	0.9167621676	0.2820301124
120	0.916944614	0.2810934453
121	0.9173335198	0.2801276327
122	0.9174588791	0.279500959
123	0.9175918973	0.2792259846
124	0.917668298	0.2786151356
125	0.9177161858	0.2782500187
126	0.9179573978	0.2772669271
127	0.917982897	0.2765764337
128	0.9185758045	0.2760507039
129	0.919169726	0.2753047092
130	0.9189208322	0.2747612345
131	0.9191374866	0.2741658004
132	0.9192828624	0.2736401519
133	0.9194062588	0.2732409984
134	0.9195411435	0.2725261013
135	0.9196376172	0.272180569
136	0.919820182	0.27170316
137	0.9200258463	0.2711965915
138	0.9203371557	0.2707325701
139	0.9206211026	0.2702704526
140	0.920630213	0.2698840496
141	0.9208433233	0.2693591248
142	0.9210227141	0.2687024588
143	0.9211029996	0.2683405822
144	0.9212932305	0.2676713432
145	0.9214599083	0.2670398715
146	0.9215317283	0.2668309209
147	0.9217654493	0.2663884426
148	0.9219488984	0.2658899923
149	0.9220624479	0.2654562033
150	0.9224207132	0.2649557441
151	0.9225086533	0.2643643421
152	0.9224946787	0.2639256425
153	0.9224436117	0.2637223085
154	0.9225756102	0.263306355
155	0.9227355425	0.262732978
156	0.9227716196	0.2623818597
157	0.9228648036	0.2619170584
158	0.9229368092	0.2615763021
159	0.9230984848	0.2608120741
160	0.9232431621	0.2603124872
161	0.9232785617	0.2601717362
162	0.92354244	0.2596890943
163	0.9235852082	0.2594208551
164	0.9237381518	0.2589359667
165	0.9237560124	0.2585925362
166	0.9238202429	0.2582070138
167	0.9239549747	0.2577802191
168	0.9241036261	0.2573312073
169	0.9241133958	0.2570641606
170	0.9241829242	0.2567557857
171	0.9243823104	0.2562131487
172	0.9243573437	0.2557416894
173	0.9243858672	0.2555594178
174	0.9244504848	0.2552390574
175	0.9245094424	0.2551049031
176	0.9245167092	0.2549688931
177	0.9246176334	0.2547751893
178	0.9248457459	0.2541300181
179	0.9249378319	0.2537205316
180	0.9250737384	0.2532626871
181	0.9251798578	0.2528651217
182	0.9252675959	0.252583051
183	0.9253672568	0.2522499789
184	0.9253973497	0.2520247559
185	0.9255285761	0.2517643284
186	0.9255577177	0.2514457622
187	0.9257354288	0.2512184863
188	0.9258125815	0.2509355983
189	0.9258442736	0.2506703487
190	0.9259235196	0.2501984092
191	0.9259918989	0.2500234454
192	0.9260331992	0.2497009824
193	0.9260749177	0.2494106902
194	0.9261629834	0.2490576953
195	0.9261756224	0.2487915448
196	0.9262183474	0.2486231493
197	0.9263857993	0.2483163813
